노선명,정류장번호,정류장명,성격,주소,위도,경도
레드라인,1,부산역,출발,부산광역시 동구 초량동 1202,35.114572,129.040259
레드라인,2,UN기념공원,정차,부산광역시 남구 대연동 779-4,35.128819,129.093905
레드라인,3,부산박물관,정차,부산광역시 남구 대연동 1022,35.130129,129.092948
레드라인,4,용호만유람선터미널,정차,부산광역시 남구 용호동 176-53,35.132812,129.114482
레드라인,5,광안리해수욕장,정차,부산광역시 수영구 광안동 205,35.152945,129.117992
레드라인,6,마린시티(수영만요트경기장),정차,부산광역시 해운대구 우동 1393,35.15679,129.141342
레드라인,7,동백섬,정차,부산광역시 해운대구 우동 1445,35.157764,129.151372
레드라인,8,해운대해수욕장,정차,부산광역시 해운대구 중동 1414-1,35.159525,129.161033
레드라인,9,센텀시티(영화의전당),정차,부산광역시 해운대구 우동 1524,35.168467,129.13056
레드라인,10,시립미술관벡스코,정차,부산광역시 해운대구 우동 1127-45,35.167466,129.136742
레드라인,11,평화공원,정차,부산광역시 남구 대연동 699-3,35.127003,129.101409
레드라인,12,광복로,정차,부산광역시 중구 중앙동6가 9-1,35.099909,129.036724
레드라인,13,부산역,도착,부산광역시 동구 초량동 1202,35.114572,129.040259
그린라인,1,부산역,출발,부산광역시 동구 초량동 1202,35.114572,129.040259
그린라인,2,영도대교(유라리광장),정차,부산광역시 중구 남포동1가 68,35.096986,129.035942
그린라인,3,흰여울문화마을,정차,부산광역시 영도구 영선동4가 565,35.079996,129.043616
그린라인,4,하늘전망대,정차,부산광역시 영도구 동삼동 628-23,35.072121,129.055211
그린라인,5,태종대,정차,부산광역시 영도구 동삼동 1015,35.062254,129.081303
그린라인,6,국립해양박물관,정차,부산광역시 영도구 동삼동 1153-2,35.078343,129.078829
그린라인,7,아르떼뮤지엄부산,정차,부산광역시 영도구 해양로247번길 29,35.085816,129.075669
그린라인,8,오륙도스카이워크,정차,부산광역시 남구 용호동 944,35.101561,129.121979
그린라인,9,용호만유람선터미널,정차,부산광역시 남구 용호동 176-53,35.132901,129.114251
그린라인,10,평화공원,정차,부산광역시 남구 대연동 699-3,35.127003,129.101409
그린라인,11,송도해수욕장(구름산책로),정차,부산광역시 서구 암남동 135-16,35.077331,129.021383
그린라인,12,자갈치BIFF광장(용두산공원),정차,부산광역시 중구 구덕로 44,35.098134,129.03132
그린라인,13,부산역,도착,부산광역시 동구 초량동 1202,35.114572,129.040259
오렌지라인,1,부산역,출발,부산광역시 동구 초량동 1202,35.114572,129.040259
