날짜,구분,야경투어 ,오렌지라인,그린라인,레드라인,블루라인,총 합계
2024-11-27,대인,0,0,10,0,0,10
2024-11-26,대인,0,0,0,0,0,0
2024-11-25,대인,0,0,0,0,0,0
2024-11-24,대인,16,18,34,61,0,129
2024-11-23,대인,60,1,115,85,0,261
2024-11-22,대인,27,5,60,37,0,129
2024-11-21,대인,7,6,30,46,0,89
2024-11-20,대인,33,6,46,41,0,126
2024-11-19,대인,0,0,0,0,0,0
2024-11-18,대인,0,0,0,0,0,0
2024-11-17,대인,33,0,100,82,0,215
2024-11-16,대인,50,16,103,76,0,245
2024-11-15,대인,76,15,89,52,0,232
2024-11-14,대인,31,10,40,69,0,150
2024-11-13,대인,17,13,77,23,0,130
2024-11-12,대인,0,0,0,0,0,0
2024-11-11,대인,0,0,0,0,0,0
2024-11-10,대인,21,8,109,90,0,228
2024-11-09,대인,2,0,45,38,0,85
2024-11-08,대인,24,7,16,58,0,105
2024-11-07,대인,20,4,68,50,0,142
2024-11-06,대인,23,7,43,38,0,111
2024-11-05,대인,0,0,0,0,0,0
2024-11-04,대인,0,0,0,0,0,0
2024-11-03,대인,29,7,67,67,0,170
2024-11-02,대인,54,5,107,87,0,253
2024-11-01,대인,25,3,22,30,0,80
2024-10-31,대인,13,2,38,38,0,91
2024-10-30,대인,21,4,76,33,0,134
2024-10-29,대인,0,0,0,0,0,0
2024-10-28,대인,0,0,0,0,0,0
2024-10-27,대인,30,13,81,68,0,192
2024-10-26,대인,43,10,82,98,0,233
2024-10-25,대인,70,9,53,48,0,180
2024-10-24,대인,11,13,50,35,0,109
2024-10-23,대인,33,0,38,25,0,96
2024-10-22,대인,0,0,0,0,0,0
2024-10-21,대인,0,0,0,0,0,0
2024-10-20,대인,19,2,85,55,0,161
2024-10-19,대인,70,5,88,72,0,235
2024-10-18,대인,10,3,13,18,0,44
2024-10-17,대인,31,4,33,14,0,82
2024-10-16,대인,28,2,43,35,0,108
2024-10-15,대인,0,0,0,0,0,0
2024-10-14,대인,0,0,0,0,0,0
2024-10-13,대인,39,2,59,46,0,146
2024-10-12,대인,38,7,105,106,0,256
2024-10-11,대인,62,2,40,31,0,135
2024-10-10,대인,39,6,28,26,0,99
2024-10-09,대인,38,10,28,57,0,133
2024-10-08,대인,0,0,0,0,0,0
2024-10-07,대인,0,0,0,0,0,0
2024-10-06,대인,22,0,55,64,0,141
2024-10-05,대인,6,5,61,95,0,167
2024-10-04,대인,0,15,78,79,0,172
2024-10-03,대인,23,16,106,103,0,248
2024-10-02,대인,55,4,73,50,0,182
2024-10-01,대인,0,0,0,0,0,0
2024-09-30,대인,0,0,0,0,0,0
2024-09-29,대인,42,9,89,73,0,213
2024-09-28,대인,30,18,83,114,0,245
2024-09-27,대인,33,0,36,39,0,108
2024-09-26,대인,2,2,30,35,0,69
2024-09-25,대인,7,6,30,48,0,91
2024-09-24,대인,0,0,0,0,0,0
2024-09-23,대인,0,0,0,0,0,0
2024-09-22,대인,25,0,35,35,0,95
2024-09-21,대인,0,0,0,0,0,0
2024-09-20,대인,33,0,8,13,0,54
2024-09-19,대인,37,4,26,31,0,98
2024-09-18,대인,0,0,0,0,0,0
2024-09-17,대인,0,0,0,0,0,0
2024-09-16,대인,0,0,0,0,0,0
2024-09-15,대인,26,16,75,98,0,215
2024-09-14,대인,34,0,47,54,0,135
2024-09-13,대인,39,3,7,24,0,73
2024-09-12,대인,10,0,18,10,0,38
2024-09-11,대인,22,0,12,10,0,44
2024-09-10,대인,0,0,0,0,0,0
2024-09-09,대인,0,0,0,0,0,0
2024-09-08,대인,30,6,33,34,0,103
2024-09-07,대인,48,14,51,48,0,161
2024-09-06,대인,33,1,19,18,0,71
2024-09-05,대인,36,0,9,12,0,57
2024-09-04,대인,0,2,28,50,0,80
2024-09-03,대인,0,0,0,0,0,0
2024-09-02,대인,0,0,0,0,0,0
2024-09-01,대인,36,5,31,59,0,131
2024-08-31,대인,33,4,76,73,0,186
2024-08-30,대인,0,3,27,31,0,61
2024-08-29,대인,35,2,31,40,0,108
2024-08-28,대인,36,1,46,51,0,134
2024-08-27,대인,0,0,0,0,0,0
2024-08-26,대인,0,0,0,0,0,0
2024-08-25,대인,34,6,44,52,0,136
2024-08-24,대인,32,8,75,75,0,190
2024-08-23,대인,33,8,22,28,0,91
2024-08-22,대인,31,4,21,43,0,99
2024-08-21,대인,40,2,14,22,0,78
2024-08-20,대인,0,0,0,0,0,0
2024-08-19,대인,0,0,0,0,0,0
2024-08-18,대인,37,3,47,38,0,125
2024-08-17,대인,42,3,67,59,0,171
2024-08-16,대인,79,16,91,103,0,289
2024-08-15,대인,35,8,86,121,0,250
2024-08-14,대인,66,3,82,63,0,214
2024-08-13,대인,0,0,0,0,0,0
2024-08-12,대인,0,0,0,0,0,0
2024-08-11,대인,39,0,90,89,0,218
2024-08-10,대인,36,4,52,80,0,172
2024-08-09,대인,79,5,76,67,0,227
2024-08-08,대인,65,22,55,45,0,187
2024-08-07,대인,86,9,46,63,0,204
2024-08-06,대인,0,0,0,0,0,0
2024-08-05,대인,0,0,0,0,0,0
2024-08-04,대인,36,9,95,86,0,226
2024-08-03,대인,25,17,88,122,0,252
2024-08-02,대인,49,12,92,100,0,253
2024-08-01,대인,40,9,77,94,0,220
2024-07-31,대인,31,5,91,73,0,200
2024-07-30,대인,0,0,0,0,0,0
2024-07-29,대인,0,0,0,0,0,0
2024-07-28,대인,42,29,96,87,0,254
2024-07-27,대인,38,15,91,95,0,239
2024-07-26,대인,67,2,28,60,0,157
2024-07-25,대인,34,2,40,40,0,116
2024-07-24,대인,20,6,48,53,0,127
2024-07-23,대인,0,0,0,0,0,0
2024-07-22,대인,0,0,0,0,0,0
2024-07-21,대인,37,7,51,64,0,159
2024-07-20,대인,38,6,76,123,0,243
2024-07-19,대인,76,1,6,18,0,101
2024-07-18,대인,22,0,4,22,0,48
2024-07-17,대인,46,6,21,33,0,106
2024-07-16,대인,0,0,0,0,0,0
2024-07-15,대인,0,0,0,0,0,0
2024-07-14,대인,21,4,26,18,0,69
2024-07-13,대인,44,9,43,56,0,152
2024-07-12,대인,37,2,32,19,0,90
2024-07-11,대인,18,0,9,21,0,48
2024-07-10,대인,23,2,0,2,0,27
2024-07-09,대인,0,0,0,0,0,0
2024-07-08,대인,0,0,0,0,0,0
2024-07-07,대인,28,0,42,35,0,105
2024-07-06,대인,68,11,29,52,0,160
2024-07-05,대인,36,2,16,18,0,72
2024-07-04,대인,33,0,13,15,0,61
2024-07-03,대인,10,0,7,4,0,21
