날짜,구분,야경투어 ,오렌지라인,그린라인,레드라인,블루라인,총 합계
2024-11-27,소인,0,0,0,0,0,0
2024-11-26,소인,0,0,0,0,0,0
2024-11-25,소인,0,0,0,0,0,0
2024-11-24,소인,3,3,9,10,0,25
2024-11-23,소인,2,0,16,10,0,28
2024-11-22,소인,6,2,5,0,0,13
2024-11-21,소인,0,0,3,3,0,6
2024-11-20,소인,0,0,1,4,0,5
2024-11-19,소인,0,0,0,0,0,0
2024-11-18,소인,0,0,0,0,0,0
2024-11-17,소인,3,0,14,12,0,29
2024-11-16,소인,7,0,10,13,0,30
2024-11-15,소인,3,0,7,6,0,16
2024-11-14,소인,0,0,0,0,0,0
2024-11-13,소인,1,0,6,3,0,10
2024-11-12,소인,0,0,0,0,0,0
2024-11-11,소인,0,0,0,0,0,0
2024-11-10,소인,0,0,9,12,0,21
2024-11-09,소인,0,0,3,7,0,10
2024-11-08,소인,3,0,2,12,0,17
2024-11-07,소인,2,0,3,2,0,7
2024-11-06,소인,1,0,7,1,0,9
2024-11-05,소인,0,0,0,0,0,0
2024-11-04,소인,0,0,0,0,0,0
2024-11-03,소인,5,0,8,9,0,22
2024-11-02,소인,4,0,7,10,0,21
2024-11-01,소인,3,0,0,1,0,4
2024-10-31,소인,0,0,3,2,0,5
2024-10-30,소인,0,0,1,2,0,3
2024-10-29,소인,0,0,0,0,0,0
2024-10-28,소인,0,0,0,0,0,0
2024-10-27,소인,1,2,5,11,0,19
2024-10-26,소인,1,0,11,11,0,23
2024-10-25,소인,4,0,3,1,0,8
2024-10-24,소인,29,0,1,0,0,30
2024-10-23,소인,0,0,3,2,0,5
2024-10-22,소인,0,0,0,0,0,0
2024-10-21,소인,0,0,0,0,0,0
2024-10-20,소인,3,0,9,2,0,14
2024-10-19,소인,7,0,8,6,0,21
2024-10-18,소인,0,0,1,1,0,2
2024-10-17,소인,0,0,3,0,0,3
2024-10-16,소인,3,0,2,2,0,7
2024-10-15,소인,0,0,0,0,0,0
2024-10-14,소인,0,0,0,0,0,0
2024-10-13,소인,1,0,15,13,0,29
2024-10-12,소인,0,0,9,10,0,19
2024-10-11,소인,3,0,2,2,0,7
2024-10-10,소인,2,0,4,5,0,11
2024-10-09,소인,15,3,6,7,0,31
2024-10-08,소인,0,0,0,0,0,0
